device_model,frequency
a3811cff,2509
a4881c8c,3
a4e6413a,3
a5255872,1
a5621df2,2009
a5d9fd67,140
a68723e9,1856
a6ac3fb8,15
a6e7d070,12
a70a2a56,53
a7eeb367,2466
a81ce4f6,14
a8595d43,90
a8a022f9,1943
a8b4d769,2
a8bbb661,15
a992a1f0,1
a99fd134,33
a9eaa5f7,6
aa1154d9,535
aa919bdf,97
aaf8565a,603
ab75dbf1,5853
abcf7695,4
abf7e1c1,8
ac731870,1311
ac8eae02,5
ad21c5bd,944
ad4f0623,1
add8fba6,282
ae9343b5,10804
aeb164bb,286
aecbfd24,34
af04c61b,1
af06cab2,155
af1acfb3,3674
afcd7478,517
b0798f72,5
b0b26233,3178
b1f4f744,2
b224a1fc,2
b24310e1,138
b287ccd7,3590
b2931f8b,1138
b2a446a6,2
b2c41916,1
b2d402eb,5
b353797d,42
b3a9dba5,4
b3b38ccd,102
b40a54c8,57
b50d2bf4,27762
b633d9d6,4813
b6740376,1
b72ce3e1,2205
b79c5777,42
b7d2d645,367
b7f98f49,120
b8dbdd0e,989
b8fd3693,190
b9d919c4,292
baa3d4c5,331
bac996ac,337
bac99cd7,23
bb540b80,30
bb737e9d,8
bbfbf635,1
bc32c9be,2279
bc545930,29
bc5b3cdc,1925
bd505fd5,3
bd62a100,412
be1b1994,1088
be8e6a48,5081
befa7286,19
bf12ac48,85
bf160cf9,5705
bf47d0d7,21
bfa3a79b,232
bfe4b0ae,1
c01fd4e5,4985
c039cd57,326
c04c47a3,4
c088ace8,31
c0a65ab1,46
c247640c,678
c320e082,4
c3224027,24
c3825bbb,1957
c44c683a,34
c46133f0,200
c53dc474,86
c5763091,121
c65067e5,124
c6f15a30,107
c82568dd,8
c935d57b,1683
c9a7ccb1,12614
c9f3a331,763
ca7b4833,3
caa4bca5,182
cb394eb7,22
cb48deed,1550
cbc3c809,196
ccb8524a,1452
cd708ad8,334
cdd4d135,10
cef3b76f,1
cf295ca2,350
cf556160,286
cf9143a0,75
d0265f48,358
d0401803,1
d04559cd,1138
d056b4bf,52360
d1840d80,124
d18e3b74,556
d1ab8a86,376
d2354315,440
d2680141,2257
d2ea4489,5
d30ea18c,3
d39ccaa6,178
d3d35099,1
d4527c28,8007
d4597ed7,100
d4b4a4d8,3
d57111ae,4641
d5c60e81,77
d5f711fe,4
d6361d58,3778
d67217c3,77
d6dbef9b,15
d6f2b1a7,18
d769ad88,1
d7966942,592
d7a4a54d,5803
d8297ce5,56
d867b0d1,2505
d870e4de,1372
d91f828d,1
d982ea8f,878
da4fe651,56
da8c60d6,4
da961c38,4106
daffc6ef,3
db060d29,45
db18f01d,11
db75ee0b,285
dc356277,682
dc7c4729,25
dcefb573,9
ddf672d5,24
de20a31e,1
dec3d4d3,439
dee08b7a,63
dfe607de,346
e0641540,24
e09925b8,751
e0f580a8,859
e102254b,13
e1262b45,10
e1a45326,28
e1ca6300,3300
e20a8f62,67
e24c8b65,50562
e290843d,676
e39c8c05,63
e3d6a054,236
e3fe66f3,3
e47f989b,18163
e4ce37c5,1
e52f880f,8
e54f5c6e,198
e5adfdd3,18
e6ba2d5a,133
e7228326,606
e7240161,905
e833c891,8
e86f744b,61
e8777a01,6
e87ff053,5
e8d549b1,4
ea306297,1
eb248eef,3079
eb9d69e8,14466
ecbd8b2a,18
ecf4beda,1033
ed9d3da0,146
edc274ad,144
eec78f77,10693
ef36ba9c,87
efaa354c,21
f016b9df,6027
f0417c63,1650
f06ab206,30
f0b4db72,199
f0dca24f,7
f156fc5f,7
f1ca0958,15
f26c4c0e,2163
f2daa0e8,11
f33a277c,77
f3d47c3b,2
f489cdfc,5932
f4dc663d,10
f5579319,1131
f58935a7,4
f6a9be6f,3
f6eb0706,77
f8259f09,1
f8679af3,1
f9315725,5257
f970000e,718
fa0e3d78,2
faf0a5a5,6
fc98e0d1,156
fce9cd60,7321
fe2e583a,9
fe691a04,540
00161f51,38
00720284,5
00c0a3a2,1
01e8128a,659
022b76f0,40
026e296c,36
02776bb7,1976
03740003,304
047b3d4d,7336
048a9ddf,6
048f336e,42
04b60127,3
04d4048a,52
050f140a,17
052bf4cb,7
054c8edf,57894
05566ad2,8951
055bbb00,1
05e70df4,138347
07847828,1720
08865dc7,689
09cf24be,1142
0a10024e,11963
0a5a4e3f,1928
0a995819,96
0ab13c2e,1
0b0e5bc5,5380
0bbfedff,1
0c1c759f,457
0c53057e,1812
0cdca4fe,3024
0d331951,6600
0d78592d,2
0db1b036,1
0f85dc35,161
0ff2b448,13
1028bfd6,6
104ed4fe,18
10694e55,1170
10d46fe2,8
1110362c,130
13d33e5c,2580
140fea4a,17
14379d70,643
14f2efe2,52
159432af,194
15dc77b3,5793
16147744,107
163259ee,434
1706cba4,8
17293ca7,906
17e6ab63,3
17e781cc,4
19d1a8c9,136
1a3c1413,805
1a57345c,799
1af952e2,115
1b1ac81a,1
1b7c0cf3,8
1c324dcc,48
1ddf5049,51
1e876a13,2
1f3a326f,1
1f3caec9,233
1f9f0001,285
21562811,6
223c71b7,483
22b355b9,88
22dae297,128
2319f641,7322
23c526cf,6812
24399af1,16668
2448c7d4,1232
246b7b58,100
2570ef53,2
2571c2ac,24
266f585e,3424
266f8826,123
26c10aed,32
270a59f9,994
2734111b,194
27466962,19054
28685f54,1
2897d27f,1
28a7e69a,162
294d4a4c,136
29c35d11,61
29f569fc,2
2a0c8a1f,55
2ac524a3,27
2b25979f,1
2b648235,212
2c5339cd,610
2cabed71,498
2ccbf1b1,47
2ce47122,208
2d5d01c9,292
2d75c1fc,43
2db7867c,1
2deffeb2,19
2f073df5,25
2f2560da,158
2fd27936,815
2fe4ed08,23
309740fe,1
31394082,18
3143013e,8
316f2994,38
31ad679d,2
31da0162,391
325246a4,17
326a2f5e,155
329c70fc,4216
32e1ff41,247
3398d532,10
33b4713d,2
344348e7,970
345e3e65,255
349e6fb1,1
3511da37,7
36025fa8,9
360f6e06,32
369c4269,19
36c78ed1,9
36cda1d1,4
36e1ea79,5
3712196b,90
384731b0,123
38746734,1
3973e45a,461
39d992d0,1
3b9d5d3c,2308
3c55fad5,14468
3cae5f41,8
3cd005d0,60
3d62b03d,422
3d7f378f,45
3f62ae46,5
3f7bf868,1
3f83389f,252
404a1b1a,1
405444ca,651
407723ef,477
40f12cff,11
415689e7,26
41c981f4,1
42a62f49,102
4302200b,103
43b8346f,154
444da729,448
44d574f5,10
451c13b1,297
45abfcf3,4431
45d0b52f,2
462afcae,3
46527ee0,1
46bb84f6,177
4782ec72,21
47a322d1,14776
481f0b29,44
48851651,17
48fdc910,6
491a65c6,37
4a070ea6,77
4a0f7fe1,9
4aa7c2d2,293
4aac3945,4
4b32afb9,15
4b7af192,48
4c0b73cf,70
4c2dce35,108
4ceb2e0b,127147
4d342b5f,144
4dab8b48,41
4ed932fe,11
4f3533bf,161
4f5081ea,9
50670002,154
50fe79d1,1
51ac761a,164
52370b4c,15
52cdf6f3,3
52e6ebda,641
5335c739,1
537175b7,13
53917e94,24
53e933f1,5
542a240d,163
543f4651,520
544d6756,3
54840ded,5
54dba6b1,20
55ac048f,1
56046409,1051
56a6a66a,62
581e3ad3,1
581ed3ae,1
589a99ad,14261
58bb806d,1920
595b5eff,1
597f94cc,285
599817f7,812
59d8da05,1
5a2f7cf8,1699
5a8f8c16,104
5b20a683,40
5b29a934,144
5b4ceb40,12386
5b6abbfa,25
5b9661b7,18
5ba3e60a,54
5bd844a4,342
5be1ba3d,7900
5ccc22e5,2
5d2e7f66,31
5d36a8e0,2357
5d60ef7b,680
5f75723b,4
5fd30626,17
610e1262,770
61e4dbb4,1017
63482b44,404
63d9620c,1
649661a2,8
6624d4ac,1
66eec25f,16
684f0f3a,890
6851d047,923
68830bb6,45
6a12146c,2090
6a28d7d0,169
6b08eff9,2
6b5bef5a,2
6ba38709,2077
6c071e9c,992
6c247d18,7939
6c3aced8,2
6d33e9c0,22
6ece6fae,983
6fa3b9ac,46
6fd2952c,29
704bcd14,388
70550bc3,1
708af392,3
70a6c6be,20
70fce60e,4
71422352,2745
719cbc3b,481
71dc217e,590
72342cc2,2
72f17ee5,552
731eef2f,25
736aefc3,38
74a88fc9,3647
74de3ee6,12826
750997da,931
7556c558,7
76dfacea,1
779cde4c,3
779d90c2,344574
77b71d51,1
77e9b53e,122
7843f7dc,6287
7872f22d,186
787562bc,9245
7893d89e,353
78fd7f58,1
7998b891,10
7a9197b2,309
7bff9db0,577
7c49f6f6,6
7cdb89bd,1629
7d9fe8ff,5
7db53ce9,58
7ebfc01c,862
7eef5960,2
7f39481c,477
7f4690d6,684
7f79bd09,264
7fb7fdf1,5
806c30ab,62
80fdc835,6429
815a6922,153
8202bc67,85
821b5891,1
83cd1c10,8858
84414317,7
84820d2b,158
84a9d4ba,1233
85119990,1261
8517c005,3
852d9ba3,7
854ac1a4,9
8565b511,174
8573f438,151
85891c2e,614
85a42bad,827
860ff0f8,3
866aff7c,9
869b645d,236
86ffabcd,113
88cd12a1,7
8919d0dd,49
897a315a,101
8a0635bc,2631
8a4510f6,4
8b52dc08,1173
8ba13a25,3648
8cb8ebc6,1
8d4d7618,3886
8e0334e3,630
8ea6a112,757
8ebbde02,1902
8fd192ea,47
9067632b,2
909d8f37,12551
90a6fa1a,8
913b0638,455
920811f2,2
92bed2f3,18
92f1196a,33
92fb95f6,502
9315f4ae,5
9497b5e1,1045
953ef5e4,80
958bab82,806
95c7d4ee,49
95f1b14d,13
96fa2251,11
97db40ea,7
99115329,7197
9aeacc17,9159
9b5487b0,2
9b872376,871
9ba193f2,648
9ba228d5,22
9bbdb88c,40590
9bc8bfbe,298
9bcd617c,248
9c42380f,287
9d0d64b4,3
9d2289dc,93
9d806a33,3
9d80c35d,9
9dc3d156,328
9dec4cce,3
9e0f632c,1
9fbc089a,27
9fe9e993,85
a00fddfb,2
a05e386c,1
a086000b,1
a0b0a41f,1290
a0bb68f1,341
a0c8eceb,21
a1c2e2e4,8
a213b387,3940
a32dfba4,303
a38505b2,815
a48e7fce,3
a4971fbf,20
a5cacf02,124
a73c5c99,10
a76c4b0a,14201
a7898dfd,5
a7eeff8a,2708
a807b09a,1
a93c8f0a,4
a9539343,114
a95668a1,1
aa3bfd5b,15
aa58f40d,2
aa694808,156
aa878c01,2122
aaf135c0,307
ab36a330,7
ab4085d5,14508
ab57115f,17940
ab5c28d0,1408
abcbf6a7,32
abe24b54,323
ad9420a9,73
ae7d30c3,9526
ae9559c5,1877
aea041eb,257
af46d3df,647
afafdc9b,4
b002c182,11
b084b960,77
b0d451d9,8192
b15377d8,16
b225ef96,139
b3196505,55
b3aa4ff0,4
b3facdc9,583
b4154a46,1
b466abf7,405
b52094f4,260
b5a42bb6,2149
b5c22d4a,25
b6ed0aca,8
b72d1c6e,28731
b81f36d9,2
b8661a96,6
b8763d03,1
b8be4b4e,602
b9e71d37,7
bb1c6f4a,329
bb24b9df,29
bb62657e,1
bbedfe61,4
bc4b4233,1
bc6e6c0b,1
bc8f5d71,7902
bd2bee54,1116
bd3b302f,4180
bd6746a5,1
be128aee,6
be8a956b,3967
bec90ab3,11
c099a5de,5
c131f7da,167
c17850cf,7569
c1a17447,19749
c1efcd18,31
c1f166f6,29
c20739b8,719
c23d7b97,5
c2694207,1
c27704fd,2729
c28222f3,123
c2855ad9,1214
c2a1a138,9
c2d476e2,2718
c34c4173,1835
c42c24f1,2379
c5c4b56f,19
c63320e1,363
c689992b,8
c698a563,852
c70531d6,1
c739337c,262
c7535cf6,7
c841f087,693
c8d97a4a,1
c8f4cbde,2157
c8ff412c,85
c97df6ea,1
c993633d,4
ca848d51,4378
cb490192,4387
cc82c92f,783
cd123a77,3
cd5b0b7a,260
cd6ebd0e,112
ce2cf3f5,2341
ce762689,12532
ceae05e1,213
cf171a09,2024
cf8ce607,364
d002cb2f,28068
d0732271,1
d0de194b,2043
d1ec76d6,2
d24c67df,46
d2e5a0b2,19948
d2ecacb4,4
d3435beb,71
d3566c2f,2
d432ab71,80
d44bde3b,495
d487a7e0,72
d4a0156c,29
d599d518,2845
d59dd1da,358
d66b1fd5,260
d6aba292,1
d76deb19,321
d7c48964,5
d7c95075,1
d7cbb70b,239
d817b733,1
d8dc595a,2
d913a253,18
d9236fbf,3
d958c85f,133
d9d47e05,9039
da23c8f7,446
da4cc829,2
da656fc6,870
da73f3b2,31
dae189a1,1
dc91590f,340
dd42cfc2,127
dda51ba8,1
dde36467,4
ddea1d2d,342
de53cfa3,759
dec3afcc,69
df3030d1,51
dfa1afc6,15
dfb2cc13,42
dfc76d3f,156
e027f535,57
e072b8b9,3
e0b82dc5,13
e1ee4b46,73
e24d3836,6
e25bf429,280
e2e37ae0,26
e4ad8b47,2
e5393fc6,12
e5c2c172,38
e5c6e4b1,15490
e62a356b,1521
e7489211,32
e74e8b0a,232
e7af350c,366
e8049846,1
e9064b39,3
e9378a9c,3
ea011caf,164
ea5e907a,17
eb1b1065,3191
eb7355b3,91
ebbd8b99,267
ed6ca3b5,9
ed8b7a14,1714
edac0baa,12
ee01b724,1409
ee610676,339
eee53df3,11034
eefb45ad,2469
ef0475c1,140
ef1c8bcb,1988
ef281ea7,84
efb9cd54,7
f01035ca,271
f1777fad,2
f1f47ab2,4
f23fea71,10
f3375559,2
f3696262,2174
f3a45956,64
f40d2def,1
f418be69,1007
f45ac779,1
f46e5b3e,369
f546658d,7
f6040a45,12
f617a402,3
f6651b15,3173
f671368d,1
f67c72f5,156
f6d215ae,51
f71725ae,24
f729aab1,1
f72ec906,945
f794bc15,7
f7ac344b,4135
f7cee32d,3
f8ab55bd,9
f9b568bc,1
fa1ec5ce,11
fa952a77,26987
fc10a0d3,482
fc61f1a2,17
fce46fef,2
fd107267,4
fd2bee3d,2
fe18eef5,4284
fe9f8125,1520
feba401a,6
ff607a1a,7162
ff717dd1,1927
012b690c,6
0143f1d8,422
016c9698,4
0179bf8d,27
01a8fd4c,31
01d0592d,1
0272e747,2
03845d44,1908
03bef39f,8657
03d463f0,288
04f4b503,2
0566802a,325
05c54514,51
069e5f09,1
06bcb167,140
07398335,18
076abcfa,1
07b8c490,35
0989142d,50174
0a2933a8,545
0a513c26,500
0a56fcb1,1
0ac04b54,4095
0ace99ff,17
0b8e16ac,4
0cca93c6,2
0d2aee01,2959
0dba615b,6
0de8f81c,113
0e1e5376,1
0e32c832,5891
0e7efa2e,10
0e88538f,90144
0f5e1f05,2462
10b23350,1
10bdc601,979
112744f2,1
12869d6e,9
132592d3,33
13367cc6,3850
138ce8cc,1
13a9abd2,10
13d767b1,33
155af425,2157
16f21c00,216
17eed1e3,7
18a62280,4792
18a7bb52,562
192f98c4,523
1992f730,9
1a9e2624,5
1abf95bb,142
1b149ade,1
1bbeefa2,172
1beb86ca,21
1c184ee8,3195
1c6a881d,105020
1cd51a18,72
1ce97de0,344
1cfbf412,284
1d205592,175
1d491300,111
1da119e0,24563
1de9a8ac,1
1e748623,3158
1f11feda,1
1f254095,32
1f5fd4f9,8587
1fedbb25,5319
21cf6540,3
2203e2d0,406
221b03c7,2
22552677,289
22c9858a,929
22fb7d04,9939
231e86a5,3194
235bcfc1,19497
239543e1,15684
23a18003,255
23f8779f,2
244395d8,7
24ed9fde,3
24fa3c08,362
2577a40c,532
257e8d4c,1
258766e2,24314
25f75fa4,44
26306780,656
26e06fb1,52
2763fe5c,13
27b37437,413
27ca5eeb,273
2818885e,30
2850ef59,151
29114291,6
2a04c7a0,4
2b732cc0,36
2baf711a,31
2c67c536,1181
2c85d13a,4196
2d6d7ae9,19803
2d936022,1
2dd4c797,2184
2e649bbf,233
301d587a,7132
30b056c0,1920
311da669,6802
3138cddf,1862
31491dc5,11
333638cd,710
34a16602,14
34a523c2,1
34c9742e,1
3520c226,10008
35e2d14f,55
3629f103,2
373ecbe6,71221
37695bc7,2954
3770244e,1
37fde2c4,1278
38cb01e0,705
394532e2,356
3950c563,6
3983e343,354
3999cce1,593
39cb638b,6
3aa885b9,12
3ac25261,54
3b210de0,5
3bbc7da2,2072
3c4f8b03,1110
3cedf4dd,1209
3d4e158e,109
3ed70460,13
3f3c3c8f,2
40511dd3,4
4072d919,4
409e18b0,221
40b62088,457
41306320,1
4156c5bc,120
419678fd,3
421872ab,24019
421b46a5,1
4417775b,28
44259703,4
44501ce3,77
445fefd5,155
44832a48,41
4483b9ab,1
449a1d12,108
452ac120,42
45eb35b8,52
45f020f4,679
4620fed2,2451
4696784b,24
470a30f7,105
471d5485,5
480eff9f,24
4813b338,40
48159cd6,1629
4850d523,33
4937bba3,26
496f3bd2,1
49ba227d,75
4a2ab592,2
4ae8fbf3,79
4b1fe4e8,190
4bd7ae87,53
4bf09513,2
4cb4927b,70
4d328265,1
4e31a6af,14
4eb12ffa,35
4f36f4bb,2
4fa6e0f4,191
505731e4,24198
50a8559e,1
50b9fe96,447
517d7b4c,15
51a23a93,10
51cdee97,19
51e1af00,438
52c5cc40,3052
52d9aaba,18
53a705f4,5
53d73200,1
54ee019c,485
55db420b,880
55ed41da,7
56a08f9c,644
56cfb4f8,6298
56f66320,31
57056260,14
574b288b,34
57919172,553
57bf4e6c,558
57e33432,20500
58202c40,2587
5850fcb9,3
588adc41,396
58ff66fc,1731
597f7364,32571
5a386aab,1622
5a49e78e,134
5b916d57,1
5c1f7db7,4
5c4fa224,35
5ca4757d,3870
5ce76ca0,213
5d6611da,14
5e4b5022,5
5e956828,1
5ebf7e85,77
5f48f315,17
5f853778,5
5fef8ed5,7
60829b85,5
608ec6d3,1
609c1714,10
60b1fa5d,94
61bf3def,2
63457205,19
63610c1e,6
64fdf136,2625
658ba280,142
66553d7d,490
68dabce1,5297
69355dfb,30
6a55a267,1
6a831f95,25
6cba9dca,1
6d8235be,14
6e2715a1,43
6e4b216f,2208
6e6ef9eb,607
6e975e1f,21
6ed2b23c,18
7015724f,88
701b73d0,1099
70359270,2305
706847a1,6566
70ae5797,1626
70e6c65d,6
713cf600,1
71c004e1,2
732b2815,84
73503494,49
73aab3c5,195
748d3fe2,155
74c5ec0f,5
7558c63e,33720
75b674ed,314
762b5d8f,14
7662675e,7
766aeadf,198
769a21fa,918
76f19f0c,1024
771d34e3,38
772ea7a3,1
79741172,10
79a87d6a,18
79bc5218,1
79fe0070,211
7a37d3ad,356
7a6fce26,12
7abc1f2e,124
7c4e9843,1
7ca502c8,1
7ca6d8ec,1
7cdfdaa5,7
7cf580e3,4
7d72ab72,2
7d847843,21
7df4d21e,7
7e353f6a,3344
7e5b3bec,938
7f77e18d,41
814d68b5,705
81f481ad,3184
82607996,110
83077fcc,1181
83ca6fdb,4246
83ca7bf8,639
83ed0b87,25356
843a070a,147
846a17c8,194
846a975a,7
84918b31,66
84cd6df8,2
84fc4a2a,14
8570b4f6,1
85a38d3a,8
861ea841,560
87e73884,1
87f69a0c,18
885f17d9,10
88661ceb,13
8a2cc27a,4478
8a332ed1,15921
8afffd3b,1
8c1fb95e,4239
8d1b8a28,7
8d2bad34,73
8e39e528,994
8e7f28cc,1644
8ec031fd,4
8fa50375,2692
8fcdd317,1
901308c4,707
90bcc8bd,3876
915cb819,3183
916ce334,6
91a469ad,43
91c9c83e,12683
9215f50d,800
928cccb9,22
93144994,4
93387277,56
93a4b0f8,4
962d1f5f,110
96a7c171,43812
97493abf,6
982bc273,5
99b65512,1039
99dca31b,27
9a79a8cc,3
9a7e2cd3,5
9a8ada97,66
9ae8e556,28
9afafca6,42
9b301a53,4135
9dbc9c4c,1
9dcb1cd1,18715
9de00aba,130
9e4f81d0,40
9e876663,10
9eecf953,3
9f2d945f,73
a07500cc,12
a1421f9a,328
a19423b8,315
a2140f4f,18857
a214550e,13
a25e8032,1246
a30ac91f,3
a3112db6,5537
a325b205,12
a33e4057,1014
a376f6a2,829
a3814d8e,90
a393dd83,43
a4073360,111
a4102e4e,2886
a42cc532,1
a4a8203d,3
a4df3edc,15
a5754ba7,2
a583d730,176
a5df7413,2628
a68f4e39,261
a72f8c71,4
a79f14dc,2408
a879071c,2721
a8bd6201,842
a8e65c0d,1
a95a3f86,2030
aa3d4e52,1494
aa4ef2ff,392
aa7b9f66,191
aac8b5ad,4
ab11f27f,352
ab59d54e,245
abbd6ad1,12191
abdfec8b,219
ac1736c3,1848
ac7327d8,1415
ad0177e7,71347
ade023cf,6
ae1b1e3b,8924
ae612df7,700
ae669c7a,15
aeb7ca74,1
af241d0c,146
aff5d719,112
b0abcb5e,19
b126a966,13
b1d219d5,30
b258e46e,235
b314d7b9,1945
b35b1c93,48
b4191635,2725
b4c8c39b,5
b55ee69d,8
b5aa8030,2102
b5b43f2b,20
b5bf16e5,8332
b5deb150,132
b61051e5,12
b62eb740,1
b644daa3,847
b7410353,77
b75a71ad,2332
b7c80d26,1
b7f7d32b,36
b92098a4,10
b987623d,316
b9b66aec,10700
b9b81869,33
b9f04800,339
ba84ad6a,12
bac088a7,2
bb682933,100
bb700b04,252
bbe9c8d5,1
bc61e14c,46
bc75c694,201
bd1ec0c7,9870
bd291fe5,9
bd296e5d,78
bd670cce,2135
be6db1d7,742913
bf656669,4
bf889e78,25
c0120dcf,748
c0860696,160
c09a0958,690
c09ada65,14
c0a9be1a,203
c1b47f37,53
c1b53da6,521
c1b5f9de,4
c1f639d3,1
c24461cf,327
c2d34e02,458
c33b28eb,59
c40e23aa,1
c436ccde,11676
c49cc718,2697
c5584d68,190
c5a91488,27
c5f7f67c,1
c62759c4,51
c6434185,8
c6fc591c,418
c7246000,206
c75acda4,570
c7dc7dd8,2925
c7eeaf45,38
c9e27f06,22617
ca23af30,50
cb034f99,39
cb0fb677,1277
cb245cfc,3
cbaa361e,3
cbb77256,73133
cc398796,211
cccf3cf5,1111
cd44b12b,2
cec7fa02,2528
cf1d4280,13
cfae4c91,6364
d0035058,25
d08114ab,3
d08b9e0c,29
d0d00b4a,274
d119142a,7
d1262833,108
d149a24e,41
d1945c23,2
d1c3bf9a,5
d36e5fa5,8
d3782911,85
d3c62f0e,330
d447d7ae,12
d486544c,35
d53a80f1,1461
d5b92f55,445
d63ec184,12
d6f8b5a7,1021
d8337869,22789
d86af06a,2
d96763ec,3151
d9994e5a,16
d9af986f,220
d9afb355,3
da1a6e85,457
da282240,2
da77c7cd,541
dab059c4,5891
db1d05df,23922
dcbf5c0f,1
dd1f7b12,13
dd30dbd2,10607
dd6ed2b2,12
de477c7a,157
df412c76,11
e0e4fc52,85
e107e144,1
e1f641eb,6944
e2b1a057,1221
e322a931,975
e4492f1e,26
e45c0c27,13294
e46cc378,3973
e5270b51,3
e52c693f,3
e55a0277,30
e56cc969,1655
e57cf514,37
e6072c2b,3
e646bc48,205
e67a0840,302
e6c1e60a,223
e70e945e,116
e710234d,9575
e7559930,1
e8d6bd6d,11750
e98ac21b,541
e99a759e,199
e9f2d8f4,8
eae9ef59,306
eafbefce,1034
eb0f3060,3827
eb2ae148,5
eb723f71,57
ec9b94e2,464
ecd2446a,55
edbc98ac,12
ef337993,11478
f063b808,26939
f0e389bb,393
f0e794f8,13190
f105819b,28
f1130bf7,99
f1f332a9,16
f2550513,1
f2758d36,1
f291cb6a,19
f2e5b294,2
f3814c75,1156
f3a55524,2
f3cad1ec,491
f494ccd6,6
f4a9b698,3406
f4ad58e6,2407
f4e2ef3c,3
f6356512,538
f73107d5,1
f7b52eb8,18
f8180a47,34
f8807f2d,4100
f9f2d1af,3
fa00050f,455
fa340a73,1861
faabd518,6
fb4b1e46,998
fbcd30b5,35
fbd3905e,92
fcfcc0f9,240
fd64b953,85
fdc897d7,81
fea476c8,59
ff16d623,6234
ff503cfe,1442
ff687ac4,268
ffb660bf,2
002ee63d,1
00498a3a,65
00aae2c7,810
00b1f3a7,93457
01415aab,3158
01c2b8f3,35
01d57fd7,4346
01e29bbb,3714
022b01d1,16
02551300,260
026be925,184
02bfc630,1
02e5b27c,2339
049ddc47,55
05faa80d,159
0671f8e1,25268
070ff045,1502
0712b55e,218
07df03b2,7912
07ecc334,3631
08892435,50
08aedc2e,7
095d8105,62
0c470da9,16
0c5635b7,27
0c96bceb,26
0d1ecd97,268
0d65e1ea,1
0d7a7cc3,1381
0daff087,18
0dbcc560,10432
0dd7b9f5,2
0e4176c4,22
0e62e089,4
0e891995,4
0eb711ec,357223
0f086703,29902
0fff0968,59
109cee60,33
10a5eeb0,11
10da4374,5
125eb78c,86
12e383d8,179
144fb2f6,1012
14db570b,2
15a4af7e,9404
1615dcd4,1
165f2f4f,97
167fcbeb,3639
16ab39b6,2813
179425cb,213
182ecb3f,575
18823393,11
18a64f47,23
18d44b00,198
19cad28b,14
1af7ceb7,17454
1afc9ced,205
1b0e8066,845
1b161332,20
1b4a6f26,11340
1b5fc7d3,5
1d4d0273,1
1d839710,120
1f08d6f5,4
1f756518,204
21b5fb3d,8760
2206cba7,315
223527a3,9
238546f8,8
23ab4fad,21
2419d3b6,2
24fdbc52,75
2500797f,2748
2594c9f0,1
25b86da2,10
25ed0a6d,34
260bcecc,23425
27765edd,16
281b33f3,561
28e69561,7637
29576c86,1501
296ab574,2
29ebf6d3,1
2a2d427c,368
2aef6aeb,54
2b4360b2,1546
2b864b78,8
2cd85f9e,9752
2d3d9ea1,6
2d65cf5c,1191
2d8ba6ca,720
2d9dd793,7
2dc5a7bd,3
2dfaeef5,341
2e605503,490
2ed7a0b0,60
2ef76bec,5428
2f17b5c3,8
2f4e93c3,453
2f86ea3c,8
2f9d6e75,4
2fbdbfc0,2
302f7e80,6
308240a1,15
308d89ad,62
30c50142,72
30fa7c7e,21
31003781,52
3105cf58,1
312adae1,1159
3139994d,4
31539d7f,57
31a650cd,945
3200cc33,16
32b17eaf,101
330a3efc,2
3324efbc,8006
33a813c9,2067
33e6b5d2,4
3413db0c,8
341a3585,117
35404915,5416
354496eb,19
3574255f,176
36732a1a,18
376e01b6,1
37acf687,131
3800d908,26
380116c8,853
386a8057,432
3883b636,2
391f9637,2
391fa7ca,290
3993c780,8
3a41d019,32
3aa83fbc,522
3ab9e76a,526
3b06f711,5652
3bd5ad51,10
3c46d044,2
3c729011,19
3d8ddfa7,19
3db9fde9,30809
3df1712f,508
3e55b1a6,236
411c16c9,6189
412eb17f,25
417eaf39,66
41dea243,1160
42556384,303
4261d257,71
427986de,64
438683ad,879
43ba6490,136
43c8bf1a,1
4421d2b2,3
44461207,2340
44498b12,3
44801bc1,74390
4534d5c8,209
45399f96,2
458593d4,14
46a414f4,15209
472f11ed,107
473688af,19
480e77ab,6
4814de2b,14
483c679e,3063
490f1f39,193
49144431,47
4962150e,28848
496515fa,228881
4a6dd157,2
4bcde76c,48
4cd4d8ed,12
4cf36001,1
4d04eea3,271
4d392e74,15292
4dfdbe72,7
4e0092a5,4
4ed103d6,2262
4f1e52a7,1
4f74a825,17
4fa12d89,196
50e8f8be,73
50ebbc99,283
511c7181,16
51689a51,2
518ff7e8,248
51d9c462,16
524ad92e,12642
5347522c,36300
53519560,55
53d8825c,1
53ea015b,73
54126645,7
54c8b5bd,19
54db068e,5646
555cd193,1791
55dc3548,172
56857404,7
56f4b923,837
56faa343,1173
570babf4,28
583b1c09,35
58644cde,165
5890f38e,194
58eee47e,1
598bacc9,50
59d2daff,1
5acfdddf,32
5b7819a0,4
5d165728,1
5d25afca,743
5d55333c,221
5d5dce03,9
5e7920c4,22
5e9b3125,797
5ebd2610,1393
5ef191d3,31836
5f1802c3,1
5fd92156,92
60b67d60,3756
613a3016,1201
61761ee1,26658
61bca830,413
6210bd8c,1
6232fb91,442
6300b80f,3
6395dac2,2521
63a5b02e,1
64174d1e,78
64c23e51,238
6536c004,2
6729092b,734
677d1186,7
6785c625,602
6862667b,44
689db181,865
68f5c0bf,586
692c9c65,1761
693ab413,88
6a7134e5,314
6ad0c2f3,145
6ad5d5d4,5457
6b780d3a,17
6b9f908d,1
6c31ddae,6
6cbf82eb,349
